"","value","est","lambda","type"
"180",0.262861321624995,"Pearson","195","MAE"
"181",0.247860686248789,"Pearson","195","MAE"
"182",0.254210547058751,"Pearson","195","MAE"
"183",0.248710331604898,"Pearson","195","MAE"
"184",0.247624284157312,"Pearson","195","MAE"
"185",0.246104574046845,"Pearson","195","MAE"
"186",0.255719087312418,"Pearson","195","MAE"
"187",0.267876878685639,"Pearson","195","MAE"
"188",0.260587290587102,"Pearson","195","MAE"
"189",0.25911427164475,"Pearson","195","MAE"
"190",0.250753249825798,"Pearson","195","MAE"
"191",0.255490862587948,"Pearson","195","MAE"
"192",0.251609811593784,"Pearson","195","MAE"
"193",0.248684117195223,"Pearson","195","MAE"
"194",0.246837461706932,"Pearson","195","MAE"
"195",0.257767015044492,"Pearson","195","MAE"
"196",0.257219547963665,"Pearson","195","MAE"
"197",0.249329743570786,"Pearson","195","MAE"
"198",0.257793830989074,"Pearson","195","MAE"
"199",0.254484000436732,"Pearson","195","MAE"
"200",0.251915165574924,"Pearson","195","MAE"
"201",0.246172951523876,"FM","14","MAE"
"202",0.272133121809755,"FM","14","MAE"
"203",0.247434581751488,"FM","14","MAE"
"204",0.200542602466871,"FM","14","MAE"
"205",0.187183931023703,"FM","14","MAE"
"206",0.23759623972974,"FM","14","MAE"
"207",0.259891535811408,"FM","14","MAE"
"208",0.252982907361271,"FM","14","MAE"
"209",0.247787715359209,"FM","14","MAE"
"210",0.256958821855998,"FM","14","MAE"
"211",0.218047540097704,"FM","14","MAE"
"212",0.275263698769871,"FM","14","MAE"
"213",0.252542211691397,"FM","14","MAE"
"214",0.25107064420099,"FM","14","MAE"
"215",0.246631174768527,"FM","14","MAE"
"216",0.292451790998674,"FM","14","MAE"
"217",0.245221296775476,"FM","14","MAE"
"218",0.251906171422491,"FM","14","MAE"
"219",0.205103206019562,"FM","14","MAE"
"220",0.229825061660831,"FM","14","MAE"
"221",0.217232344571466,"FM","14","MAE"
"222",0.273143217369733,"FM","14","MAE"
"223",0.212796741739963,"FM","14","MAE"
"224",0.224991249243423,"FM","14","MAE"
"225",0.217027787807986,"FM","14","MAE"
"226",0.256575319622273,"FM","14","MAE"
"227",0.21291538577357,"FM","14","MAE"
"228",0.213563782124993,"FM","14","MAE"
"229",0.241440114672033,"FM","14","MAE"
"230",0.234011629475231,"FM","14","MAE"
"231",0.217601370680546,"FM","14","MAE"
"232",0.237342713879639,"FM","14","MAE"
"233",0.235059112336936,"FM","14","MAE"
"234",0.226063019464736,"FM","14","MAE"
"235",0.24693989298533,"FM","14","MAE"
"236",0.206448905957813,"FM","14","MAE"
"237",0.228234402297025,"FM","14","MAE"
"238",0.214383101766367,"FM","14","MAE"
"239",0.227484159896836,"FM","14","MAE"
"240",0.256142450244846,"FM","14","MAE"
"241",0.216743324562544,"FM","32","MAE"
"242",0.24947835735125,"FM","32","MAE"
"243",0.232606064582713,"FM","32","MAE"
"244",0.204747296907185,"FM","32","MAE"
"245",0.227867386896242,"FM","32","MAE"
"246",0.207458149209995,"FM","32","MAE"
"247",0.205835736472884,"FM","32","MAE"
"248",0.248938939417795,"FM","32","MAE"
"249",0.222871008261285,"FM","32","MAE"
"250",0.239801537194142,"FM","32","MAE"
"251",0.194783884186654,"FM","32","MAE"
"252",0.221381334742142,"FM","32","MAE"
"253",0.252178929023776,"FM","32","MAE"
"254",0.231451465216256,"FM","32","MAE"
"255",0.212983277986052,"FM","32","MAE"
"256",0.206903870007019,"FM","32","MAE"
"257",0.21534135812119,"FM","32","MAE"
"258",0.236340640105202,"FM","32","MAE"
"259",0.230823862560787,"FM","32","MAE"
"260",0.245222806876582,"FM","32","MAE"
"261",0.219083582261007,"FM","32","MAE"
"262",0.225297752552466,"FM","32","MAE"
"263",0.22810403635541,"FM","32","MAE"
"264",0.2268264941776,"FM","32","MAE"
"265",0.234851410770791,"FM","32","MAE"
"266",0.23316206271135,"FM","32","MAE"
"267",0.212538055728788,"FM","32","MAE"
"268",0.208201495707965,"FM","32","MAE"
"269",0.220124538693105,"FM","32","MAE"
"270",0.249861850287411,"FM","32","MAE"
"271",0.217562317542228,"FM","32","MAE"
"272",0.216460012100492,"FM","32","MAE"
"273",0.216631214689493,"FM","32","MAE"
"274",0.208182509892227,"FM","32","MAE"
"275",0.196679823723122,"FM","32","MAE"
"276",0.225848408518581,"FM","32","MAE"
"277",0.25099341570114,"FM","32","MAE"
"278",0.229770713533084,"FM","32","MAE"
"279",0.230227039245353,"FM","32","MAE"
"280",0.244568984359715,"FM","32","MAE"
"281",0.209726706716302,"FM","65","MAE"
"282",0.226492652160689,"FM","65","MAE"
"283",0.244271839728525,"FM","65","MAE"
"284",0.267454248641749,"FM","65","MAE"
"285",0.215915991309899,"FM","65","MAE"
"286",0.214143136147828,"FM","65","MAE"
"287",0.231103824937607,"FM","65","MAE"
"288",0.23188527553734,"FM","65","MAE"
"289",0.237606431664452,"FM","65","MAE"
"290",0.224084315126807,"FM","65","MAE"
"291",0.210948069065182,"FM","65","MAE"
"292",0.221031655661965,"FM","65","MAE"
"293",0.221557174306501,"FM","65","MAE"
"294",0.231283851225928,"FM","65","MAE"
"295",0.245110516300629,"FM","65","MAE"
"296",0.235408408205505,"FM","65","MAE"
"297",0.209399197559944,"FM","65","MAE"
"298",0.231127561961281,"FM","65","MAE"
"299",0.235840358384748,"FM","65","MAE"
"300",0.233195089131654,"FM","65","MAE"
"301",0.214363582191123,"FM","65","MAE"
"302",0.238919914007442,"FM","65","MAE"
"303",0.24719017563816,"FM","65","MAE"
"304",0.226686504419819,"FM","65","MAE"
"305",0.228124712142888,"FM","65","MAE"
"306",0.227035505980913,"FM","65","MAE"
"307",0.216990828856741,"FM","65","MAE"
"308",0.239455200981049,"FM","65","MAE"
"309",0.234929474262986,"FM","65","MAE"
"310",0.217842384969588,"FM","65","MAE"
"311",0.221289067497363,"FM","65","MAE"
"312",0.234007425781503,"FM","65","MAE"
"313",0.219247257536635,"FM","65","MAE"
"314",0.221751064154456,"FM","65","MAE"
"315",0.234150709084613,"FM","65","MAE"
"316",0.247492342881803,"FM","65","MAE"
"317",0.23278127470666,"FM","65","MAE"
"318",0.214128484179453,"FM","65","MAE"
"319",0.223318751716867,"FM","65","MAE"
"320",0.237981773740349,"FM","65","MAE"
"321",0.222037286989803,"FM","115","MAE"
"322",0.203336813349698,"FM","115","MAE"
"323",0.214042631627309,"FM","115","MAE"
"324",0.218027546940356,"FM","115","MAE"
"325",0.225909829230401,"FM","115","MAE"
"326",0.221026097480784,"FM","115","MAE"
"327",0.221693007577735,"FM","115","MAE"
"328",0.208493977336209,"FM","115","MAE"
"329",0.203167278728029,"FM","115","MAE"
"330",0.240438818455901,"FM","115","MAE"
"331",0.22770350961761,"FM","115","MAE"
"332",0.215795389018012,"FM","115","MAE"
"333",0.207713313775913,"FM","115","MAE"
"334",0.231778180698617,"FM","115","MAE"
"335",0.215691693452513,"FM","115","MAE"
"336",0.242702563944623,"FM","115","MAE"
"337",0.218856740511523,"FM","115","MAE"
"338",0.210617265936027,"FM","115","MAE"
"339",0.226078834675778,"FM","115","MAE"
"340",0.217825907797066,"FM","115","MAE"
"341",0.213348075869569,"FM","115","MAE"
"342",0.216148996371304,"FM","115","MAE"
"343",0.212220422979712,"FM","115","MAE"
"344",0.228146755927245,"FM","115","MAE"
"345",0.224651654479348,"FM","115","MAE"
"346",0.223718240489773,"FM","115","MAE"
"347",0.209772168520154,"FM","115","MAE"
"348",0.235618116888015,"FM","115","MAE"
"349",0.217351632469366,"FM","115","MAE"
"350",0.197949364713246,"FM","115","MAE"
"351",0.217679290106694,"FM","115","MAE"
"352",0.219460344623642,"FM","115","MAE"
"353",0.209804955420696,"FM","115","MAE"
"354",0.219606931114112,"FM","115","MAE"
"355",0.219218749486617,"FM","115","MAE"
"356",0.207589506888331,"FM","115","MAE"
"357",0.21459043830115,"FM","115","MAE"
"358",0.209487801914163,"FM","115","MAE"
"359",0.215335248302947,"FM","115","MAE"
"360",0.223242489753386,"FM","115","MAE"
"361",0.223766176919092,"FM","195","MAE"
"362",0.217664342164893,"FM","195","MAE"
"363",0.211263648555526,"FM","195","MAE"
"364",0.207491656543408,"FM","195","MAE"
"365",0.224781675349126,"FM","195","MAE"
"366",0.21298818743018,"FM","195","MAE"
"367",0.208524056416065,"FM","195","MAE"
"368",0.213763974879924,"FM","195","MAE"
"369",0.219561896344818,"FM","195","MAE"
"370",0.232516966789374,"FM","195","MAE"
"371",0.214783157895827,"FM","195","MAE"
"372",0.216971333672054,"FM","195","MAE"
"373",0.20888023796592,"FM","195","MAE"
"374",0.218580930950738,"FM","195","MAE"
"375",0.218138205963525,"FM","195","MAE"
"376",0.221720387699346,"FM","195","MAE"
"377",0.203171617303423,"FM","195","MAE"
"378",0.210348385868038,"FM","195","MAE"
"379",0.217964567259094,"FM","195","MAE"
